           nearest  nearest_latlon  obs_stn latlon
num  stnid ygd-xgd    lat-lon(model)      lat-lon(input)   grass urban water  STN_NAME
  1  47090 444 419  38.25330 128.57002  38.25085 128.56471  0.849 0.151 0.000  ( Sokcho )          THR CH             
  2  47095 435 345  38.14205 127.29739  38.14788 127.30420  0.840 0.160 0.000  ( Cheorwon )        CJF DNJS           
  3  47098 417 331  37.89947 127.05681  37.90186 127.06069  0.602 0.398 0.000  ( Dongducheon )     EHDENCJS           
  4  47099 416 314  37.88583 126.76601  37.88588 126.76649  0.721 0.141 0.138  ( Paju )            VK WN              
  5  47100 401 428  37.67073 128.71101  37.67713 128.71832  0.846 0.154 0.000  ( Daegwallyeong )   EORHKSFUD          
  6  47101 417 371  37.89700 127.74111  37.90256 127.73570  0.835 0.165 0.000  ( Chuncheon )       CNS CJS            
  7  47102 424 189  37.97094 124.62496  37.96611 124.63046  0.865 0.135 0.000  ( Baengnyeongdo )   QORFUDEH           
  8  47104 411 436  37.80363 128.85085  37.80456 128.85535  0.906 0.094 0.000  ( Bukgangneung )    QNRRKDFMD          
  9  47106 389 453  37.50176 129.13258  37.50708 129.12433  0.838 0.162 0.000  ( Donghae )         EHD GO             
 10  47108 393 326  37.57550 126.97126  37.57141 126.96579  0.115 0.885 0.000  ( Seoul )           TJ DNF             
 11  47112 386 306  37.48051 126.63102  37.47759 126.62436  0.000 1.000 0.000  ( Incheon )         DLS CJS            
 12  47114 376 383  37.34203 127.93916  37.33756 127.94660  0.786 0.214 0.000  ( Wonju )           DNJS WN            
 13  47115 391 557  37.48323 130.90230  37.48129 130.89864  0.850 0.150 0.000  ( Ulleungdo )       DNFFMDEH           
 14  47119 371 327  37.27850 126.98822  37.27230 126.98530  0.812 0.188 0.000  ( Suwon )           TN DNJS            
 15  47121 364 414  37.17456 128.46225  37.18126 128.45743  0.923 0.077 0.000  ( Yeongwol )        DUD DNJF           
 16  47127 348 384  36.96391 127.95117  36.97038 127.95266  0.803 0.197 0.000  ( Chungju )         CND WN             
 17  47129 334 298  36.77806 126.49936  36.77661 126.49391  0.779 0.168 0.053  ( Seosan )          TJ TKS             
 18  47130 352 470  36.99680 129.40546  36.99176 129.41278  0.857 0.143 0.000  ( Uljin )           DNF WLS            
 19  47131 324 354  36.64305 127.44229  36.63924 127.44066  0.832 0.168 0.000  ( Cheongju )        CJD WN             
 20  47133 304 350  36.37330 127.37356  36.37200 127.37212  0.791 0.209 0.000  ( Daejeon )         EO WJS             
 21  47135 293 387  36.22102 127.99174  36.22023 127.99457  0.928 0.072 0.000  ( Chupungnyeong )   CNVNDFUD           
 22  47136 320 429  36.57717 128.70259  36.57293 128.70732  0.796 0.176 0.028  ( Andong )          DKS EHD            
 23  47137 307 397  36.40841 128.16200  36.40838 128.15742  0.895 0.105 0.000  ( Sangju )          TKD WN             
 24  47138 281 470  36.03861 129.37474  36.03259 129.37962  0.862 0.138 0.000  ( Pohang )          VH GKD             
 25  47140 277 313  36.00930 126.75436  36.00530 126.76135  0.421 0.075 0.504  ( Gunsan )          RNS TKS            
 26  47143 269 425  35.88976 128.62032  35.88515 128.61903  0.317 0.683 0.000  ( Daegu )           EO RN              
 27  47146 263 337  35.82035 127.15429  35.82150 127.15496  0.572 0.428 0.000  ( Jeonju )          WJS WN             
 28  47152 245 468  35.55346 129.32629  35.56014 129.32027  0.727 0.273 0.000  ( Ulsan )           DNF TKS            
 29  47155 216 423  35.17483 128.57195  35.17020 128.57285  0.350 0.231 0.419  ( Changwon )        CKD DNJS           
 30  47156 215 321  35.17247 126.88872  35.17294 126.89158  0.829 0.171 0.000  ( Gwangju )         RHKD WN            
 31  47159 211 451  35.09998 129.03206  35.10468 129.03203  0.467 0.533 0.000  ( Busan )           QN TKS             
 32  47162 191 415  34.83913 128.43350  34.84546 128.43559  0.787 0.213 0.000  ( Tongyeong )       XHD DUD            
 33  47165 189 290  34.81998 126.37990  34.81689 126.38121  0.670 0.330 0.000  ( Mokpo )           AHR VH             
 34  47168 183 373  34.73789 127.74240  34.73929 127.74064  0.835 0.165 0.000  ( Yoesu )           DU TN              
 35  47169 180 233  34.68983 125.44615  34.68717 125.45104  0.000 0.000 0.000  ( Heuksando )       GMRTKSEH           
 36  47170 157 310  34.38920 126.70986  34.39587 126.70184  0.895 0.105 0.000  ( Wando )           DHKS EH            
 37  47174 204 350  35.02332 127.36647  35.02040 127.36940  0.900 0.100 0.000  ( Suncheon )        TNS CJS            
 38  47268 163 282  34.46823 126.25175  34.47310 126.25850  0.838 0.162 0.000  ( Jindo )           WLS EH
 39  47184  92 299  33.51116 126.53513  33.51411 126.52968  0.689 0.311 0.000  ( Jeju )            WP WN              
 40  47185  76 276  33.29312 126.16589  33.29382 126.16283  0.835 0.165 0.000  ( Gosan )           RH TKS             
 41  47188  83 320  33.39046 126.87444  33.38678 126.88021  0.863 0.137 0.000  ( Seongsan )        TJD TKS            
 42  47189  72 301  33.24128 126.56881  33.24613 126.56534  0.893 0.107 0.000  ( Seogwipo )        TJRNLVH            
 43  47192 215 391  35.16748 128.04373  35.16379 128.04002  0.746 0.116 0.138  ( Jinju )           WLS WN             
 44  47203 370 356  37.26390 127.48014  37.26398 127.48420  0.811 0.189 0.000  ( Icheon )          DL CJS             
 45  47232 334 335  36.77890 127.12293  36.77962 127.12126  0.870 0.130 0.000  ( Cheonan )         CJS DKS
 46  47235 301 301  36.33275 126.55239  36.32721 126.55741  0.806 0.194 0.000  ( Boryeong )        QH FUD             
 47  47245 244 318  35.56393 126.83854  35.56306 126.83917  0.828 0.172 0.000  ( Jeongeup )        WJD DMQ
 48  47247 232 348  35.40142 127.33533  35.40536 127.33303  0.876 0.124 0.000  ( Namwon )          SKA DNJS           
 49  47251 234 309  35.42866 126.68977  35.42660 126.69700  0.881 0.119 0.000  ( Gochang )         RHCKD              
 50  47255 220 429  35.22740 128.67213  35.22640 128.67250  0.575 0.425 0.000  ( Bukchangwon )     QNRCKDDNJS         
 51  47279 287 407  36.13661 128.32486  36.13055 128.32054  0.882 0.118 0.000  ( Gumi )            RN AL              
 52  47284 252 383  35.66811 127.91791  35.67121 127.91102  0.885 0.115 0.000  ( Geochang )        RJ CKD             
 53  47887 312 345  36.48156 127.29020  36.48000 127.28830  0.710 0.093 0.197  ( Sejong )          TP WHD             
 54  47122 358 330  37.10298 127.03896  37.09999 127.03333  0.802 0.198 0.000  ( Osan )            DHTKS              
 55  47096 376 615  37.24418 131.87440  37.23952 131.86983  0.000 0.000 0.999  ( Docdo )           EHR EH             
 56  47177 325 309  36.65715 126.68520  36.65748 126.68761  0.868 0.132 0.000  ( Hongseong )       GHD TJD
  1  47551 350 334  36.99492 127.10645  36.99223 127.11237  0.812 0.188 0.000  ( Pyeongtaek )      VUD XOR
  2  47283 264 460  35.81251 129.20117  35.81746 129.20091  0.813 0.187 0.000  ( Gyeongju )        RUD WN
  3  47266 198 370  34.94071 127.69512  34.94300 127.69100  0.797 0.105 0.098  ( Gwangyang )       RHKD DID
  4  47710 204 312  35.02377 126.74064  35.02500 126.74400  0.759 0.241 0.000  ( Naju )            SK WN
  5  47701 277 368  36.00738 127.67192  36.00398 127.67191  0.935 0.065 0.000  ( Muju )            AN WN
  6  47605 289 373  36.16883 127.75697  36.16314 127.75981  0.935 0.065 0.000  ( Yeongdong )       DUD EHD
  1  47113 385 295  37.46633 126.44398  37.46300 126.43900  0.835 0.165 0.000  ( Incheon Airport ) DLSCJSRHD          
  2  47110 392 316  37.56188 126.80096  37.55700 126.79800  0.745 0.188 0.067  ( Gimpo Airport )   RLAVHRHD           
  3  47182  92 297  33.51103 126.50282  33.51700 126.50000  0.695 0.305 0.000  ( Jeju Airport )    WPWNRHD            
  4  47092 430 425  38.06291 128.66879  38.06700 128.66701  0.890 0.110 0.000  ( Yangyang Airport )DIDDIDRHD          
  5  47153 216 445  35.16919 128.93489  35.16900 128.93401  0.716 0.170 0.114  ( Gimhae Airport )  RLAGORHD           
  6  47128 329 357  36.71033 127.49323  36.71700 127.50000  0.808 0.192 0.000  ( Cheongju Airport )CJDWNRHD           
  7  47142 269 427  35.88928 128.65363  35.89100 128.66100  0.784 0.216 0.000  ( Daegu Airport )   EORNRHD            
  8  47151 248 469  35.59360 129.34413  35.59300 129.35201  0.821 0.179 0.000  ( Ulsan Airport )   DNFTKSRHD          
  9  47167 191 365  34.84670 127.61204  34.84700 127.61300  0.881 0.119 0.000  ( Yeosu Airport )   DUTNRHD            
 10  47166 184 290  34.75248 126.38042  34.75800 126.38100  0.622 0.378 0.000  ( Mokpo Airport )   AHRVHRHD           
 11  47161 209 392  35.08633 128.05908  35.08300 128.06700  0.808 0.192 0.000  ( Sacheon Airport ) TKCJSRHD           
 12  47139 277 473  35.98359 129.42305  35.98900 129.41701  0.829 0.171 0.000  ( Pohang Airport )  VHGKDRHD           
 13  47158 212 316  35.13188 126.80630  35.13000 126.80300  0.817 0.183 0.000  ( Gwangju Airport ) RHKDWNRHD          
 14  47163 202 290  34.99548 126.37855  34.99100 126.38300  0.807 0.193 0.000  ( Muan Airport )    ANDKSRHD           
