           nearest  nearest_latlon  obs_stn latlon
num  stnid ygd-xgd  lat-lon(model)  lat-lon(input)  STN_NAME
  1  47090 211 282  38.164 128.579  38.251 128.565  ( Sockcho )         THR CH
  2  47095 211 273  38.174 127.320  38.148 127.304  ( Cheorwon )        CJF DNJS
  3  47098 213 271  37.955 127.040  37.902 127.061  ( Dongducheon )     EHDENCJS
  4  47099 214 269  37.845 126.761  37.886 126.766  ( Paju )            VK WN    
  5  47100 215 283  37.722 128.708  37.677 128.718  ( Daegwallyeong )   EORHKSFUD
  6  47101 213 276  37.953 127.737  37.903 127.736  ( Chuncheon )       CNS CJS
  7  47104 214 284  37.830 128.850  37.805 128.855  ( Bukgangneung )    QNRRKDFMD
  8  47106 217 286  37.496 129.119  37.507 129.124  ( Donghae )         EHD GO
  9  47108 216 270  37.625 126.900  37.571 126.966  ( Seoul )           TJ DNF
 10  47112 216 268  37.624 126.623  37.491 126.627  ( Incheon )         DLS CJS
 11  47114 219 278  37.290 128.007  37.338 127.947  ( Wonju )           DNJS WN
 12  47115 217 299  37.449 130.920  37.481 130.899  ( Ulleungdo )       DNFFMDEH
 13  47119 219 271  37.295 127.039  37.270 126.988  ( Suwon )           TN DNJS
 14  47121 220 281  37.176 128.420  37.181 128.457  ( Yeongwol )        DUD DNJF
 15  47127 222 278  36.960 128.002  36.970 127.953  ( Chungju )         CND WN
 16  47129 224 267  36.744 126.490  36.774 126.496  ( Seosan )          TJ TKS
 17  47130 222 288  36.940 129.379  36.992 129.413  ( Uljin )           DNF WLS
 18  47131 225 274  36.634 127.450  36.636 127.443  ( Cheongju )        CJD WN
 19  47133 227 273  36.415 127.312  36.369 127.374  ( Daejeon )         EO WJS
 20  47135 229 278  36.191 127.992  36.220 127.994  ( Chupungnyeong )   CNVNDFUD
 21  47136 225 283  36.622 128.683  36.573 128.707  ( Andong )          DKS EHD
 22  47137 227 279  36.409 128.132  36.405 128.160  ( Sangju )          TKD WN
 23  47138 230 288  36.061 129.351  36.033 129.380  ( Pohang )          VH GKD
 24  47140 231 269  35.975 126.766  36.002 126.763  ( Gunsan )          RNS TKS
 25  47143 232 283  35.853 128.666  35.885 128.619  ( Daegu )           EO RN
 26  47146 232 272  35.865 127.173  35.821 127.155  ( Jeonju )          WJS WN
 27  47152 235 288  35.511 129.334  35.560 129.320  ( Ulsan )           DNF TKS
 28  47155 238 282  35.195 128.517  35.167 128.575  ( Changwon )        CKD DNJS
 29  47156 238 270  35.205 126.903  35.173 126.892  ( Gwangju )         RHKD WN
 30  47159 238 286  35.186 129.054  35.105 129.032  ( Busan )           QN TKS
 31  47162 240 281  34.976 128.378  34.845 128.436  ( Tongyeong )       XHD DUD
 32  47165 241 267  34.874 126.501  34.817 126.381  ( Mokpo )           AHR VH
 33  47168 242 276  34.763 127.705  34.739 127.741  ( Yeosu )           DU TN
 34  47170 245 268  34.435 126.637  34.396 126.702  ( Wando )           DHKS EH
 35  47184 254 267  33.444 126.510  33.514 126.530  ( Jeju )            WP WN
 36  47189 255 267  33.334 126.510  33.246 126.565  ( Seogwipo )        TJRNLVH
 37  47192 238 278  35.201 127.979  35.164 128.040  ( Jinju )           WLS WN
 38  47203 219 274  37.294 127.454  37.264 127.484  ( Icheon )          DL CJS
 39  47232 224 272  36.745 127.176  36.780 127.121  ( Cheonan )         CJS DKS
 40  47235 228 268  36.305 126.629  36.327 126.557  ( Boryeong )        QH FUD
 41  47245 235 270  35.535 126.902  35.563 126.866  ( Jeongup )         WJD DMQ
 42  47247 236 273  35.425 127.307  35.405 127.333  ( Namwon )          SKA DNJS
 43  47251 236 268  35.425 126.633  35.427 126.697  ( Gochang )         RH CKD
 44  47256 239 273  35.095 127.306  35.075 127.239  ( Suncheon )        TNS CJS
 45  47279 230 280  36.078 128.262  36.131 128.321  ( Gumi )            RN AL
 46  47284 234 277  35.642 127.849  35.671 127.911  ( Geochang )        RJ CKD
 47  47102 211 255  38.155 124.802  37.966 124.633  ( Baengnyeongdo )   QORFUDEH
 48  47169 243 259  34.645 125.434  34.687 125.451  ( Heuksando )       GMRTKSEH
 49  47175 245 267  34.434 126.504  34.467 126.317  ( Jindo )           WLS EH
 50  47185 255 265  33.333 126.248  33.294 126.163  ( Gosan )           RH TKS
 51  47188 254 270  33.445 126.904  33.387 126.880  ( Seongsan )        TJD TKS
 52  47255 238 283  35.193 128.651  35.226 128.673  ( Bukchangwon )     QNRCKDDNJS
 53  47113 216 267  37.624 126.484  37.463 126.439  ( Incheon Airport ) DLSCJSRHD
 54  47110 217 269  37.515 126.762  37.557 126.798  ( Gimpo Airport )   RLAVHRHD
 55  47182 254 267  33.444 126.510  33.517 126.500  ( Jeju Airport )    WPWNRHD
 56  47092 212 282  38.054 128.576  38.067 128.667  ( Yangyang Airport )DIDDIDRHD
 57  47153 238 285  35.188 128.920  35.169 128.934  ( Gimhae Airport )  RLAGORHD
 58  47128 224 274  36.744 127.450  36.717 127.500  ( Cheongju Airport )CJDWNRHD
 59  47142 232 283  35.853 128.666  35.891 128.661  ( Daegu Airport )   EORNRHD
 60  47151 234 288  35.621 129.337  35.593 129.352  ( Ulsan Airport )   DNFTKSRHD
 61  47167 241 275  34.873 127.573  34.847 127.613  ( Yeosu Airport )   DUTNRHD
 62  47166 241 267  34.874 126.501  34.758 126.381  ( Mokpo Airport )   AHRVHRHD
 63  47161 239 279  35.089 128.112  35.083 128.067  ( Sacheon Airport ) TKCJSRHD
 64  47139 231 289  35.948 129.483  35.989 129.417  ( Pohang Airport )  VHGKDRHD
 65  47158 239 269  35.095 126.768  35.130 126.803  ( Gwangju Airport ) RHKDWNRHD
 66  47163 240 267  34.984 126.501  34.991 126.383  ( Muan Airport )    ANDKSRHD
 67  47201 215 267  37.734 126.483  37.707 126.447  ( Ganghwa )         RKD GHK
 68  47202 217 274  37.514 127.455  37.489 127.494  ( Yangpyeong )      DID VUD
 69  47211 212 279  38.059 128.157  38.060 128.167  ( Inje )            DLS WP
 70  47212 215 277  37.732 127.874  37.684 127.880  ( Hongcheon )       GHD CJS
 71  47216 220 285  37.168 128.972  37.170 128.989  ( Taebaek )         XO QOR
 72  47221 220 279  37.179 128.143  37.159 128.194  ( Jecheon )         WP CJS
 73  47226 226 276  36.523 127.723  36.488 127.734  ( Boeun )           QH  DMS
 74  47236 228 270  36.305 126.902  36.272 126.921  ( Buyeo )           QN DU
 75  47238 230 274  36.084 127.446  36.106 127.482  ( Geumsan )         RMA TKS
 76  47243 233 269  35.755 126.767  35.730 126.717  ( Buan )            QN DKS
 77  47244 234 273  35.645 127.308  35.612 127.286  ( Imsil )           DLA TLF
 78  47248 234 275  35.643 127.579  35.657 127.520  ( Jangsu )          WKD TN
 79  47260 243 270  34.655 126.903  34.689 126.920  ( Jangheung )       WKD GMD
 80  47261 244 267  34.544 126.503  34.554 126.569  ( Haenam )          GO SKA
 81  47262 243 273  34.655 127.304  34.618 127.276  ( Goheung )         RH CMD
 82  47271 222 285  36.948 128.966  36.944 128.914  ( Bongwhoa )        QHD GHK
 83  47272 223 282  36.844 128.551  36.872 128.517  ( Yeongju )         DUD WN
 84  47273 225 279  36.629 128.135  36.627 128.149  ( Mungyeong )       ANS RUD
 85  47277 226 288  36.500 129.365  36.533 129.409  ( Yeongdeok )       DUD EJR
 86  47278 227 283  36.403 128.678  36.356 128.689  ( Uiseong )         DB TJD
 87  47281 231 285  35.958 128.940  35.977 128.951  ( Yeongcheon )      DUD CJS
 88  47285 235 279  35.529 128.118  35.565 128.170  ( Hapcheon )        GKQ CJS
 89  47288 235 284  35.521 128.793  35.492 128.744  ( Miryang )         ALF DID
 90  47289 236 277  35.422 127.847  35.413 127.879  ( Sancheong )       TKS CJD
 91  47294 240 281  34.976 128.378  34.888 128.605  ( Geoje )           RJ WP
 92  47295 242 278  34.761 127.973  34.817 127.926  ( Namhae )          SKA GO
 93  47715 245 267  34.434 126.504  34.479 126.269  ( Jindo )           WLSEHDMQ
 94  47187 254 270  33.445 126.904  33.387 126.880  ( Seongsan )        TJD TKS
 95  47118 218 278  37.400 128.008  37.438 127.960  ( Wonju Airport )   DNJSWNRHD
 96  47141 233 268  35.755 126.631  35.904 126.616  ( Gunsan Airport )  RNSTKSRHD
