           nearest  nearest_latlon  obs_stn latlon
num  stnid ygd-xgd  lat-lon(model)  lat-lon(input)  grass urban water  STN_NAME
  1  47090 211 282  38.164 128.579  38.251 128.565  0.882 0.118 0.000  ( Sockcho )         THR CH  
  2  47095 211 273  38.174 127.320  38.148 127.304  0.839 0.161 0.000  ( Cheorwon )        CJF DNJS
  3  47098 213 271  37.955 127.040  37.902 127.061  0.696 0.304 0.000  ( Dongducheon )     EHDENCJS
  4  47099 214 269  37.845 126.761  37.886 126.766  0.766 0.202 0.031  ( Paju )            VK WN    
  5  47100 215 283  37.722 128.708  37.677 128.718  0.847 0.153 0.000  ( Daegwallyeong )   EORHKSFUD
  6  47101 213 276  37.953 127.737  37.903 127.736  0.809 0.146 0.045  ( Chuncheon )       CNS CJS 
  7  47104 214 284  37.830 128.850  37.805 128.855  0.830 0.138 0.032  ( Bukgangneung )    QNRRKDFMD
  8  47106 217 286  37.496 129.119  37.507 129.124  0.884 0.116 0.000  ( Donghae )         EHD GO  
  9  47108 216 270  37.625 126.900  37.571 126.966  0.370 0.571 0.059  ( Seoul )           TJ DNF  
 10  47112 216 268  37.624 126.623  37.491 126.627  0.663 0.266 0.071  ( Incheon )         DLS CJS 
 11  47114 219 278  37.290 128.007  37.338 127.947  0.853 0.147 0.000  ( Wonju )           DNJS WN 
 12  47115 217 299  37.449 130.920  37.481 130.899  0.000 0.000 0.000  ( Ulleungdo )       DNFFMDEH
 13  47119 219 271  37.295 127.039  37.270 126.988  0.766 0.234 0.000  ( Suwon )           TN DNJS 
 14  47121 220 281  37.176 128.420  37.181 128.457  0.860 0.140 0.000  ( Yeongwol )        DUD DNJF
 15  47127 222 278  36.960 128.002  36.970 127.953  0.821 0.179 0.000  ( Chungju )         CND WN  
 16  47129 224 267  36.744 126.490  36.774 126.496  0.851 0.149 0.000  ( Seosan )          TJ TKS  
 17  47130 222 288  36.940 129.379  36.992 129.413  0.917 0.083 0.000  ( Uljin )           DNF WLS 
 18  47131 225 274  36.634 127.450  36.636 127.443  0.757 0.226 0.017  ( Cheongju )        CJD WN  
 19  47133 227 273  36.415 127.312  36.369 127.374  0.744 0.211 0.044  ( Daejeon )         EO WJS  
 20  47135 229 278  36.191 127.992  36.220 127.994  0.739 0.261 0.000  ( Chupungnyeong )   CNVNDFUD
 21  47136 225 283  36.622 128.683  36.573 128.707  0.830 0.114 0.056  ( Andong )          DKS EHD 
 22  47137 227 279  36.409 128.132  36.405 128.160  0.731 0.252 0.017  ( Sangju )          TKD WN  
 23  47138 230 288  36.061 129.351  36.033 129.380  0.848 0.152 0.000  ( Pohang )          VH GKD  
 24  47140 231 269  35.975 126.766  36.002 126.763  0.777 0.162 0.061  ( Gunsan )          RNS TKS 
 25  47143 232 283  35.853 128.666  35.885 128.619  0.803 0.197 0.000  ( Daegu )           EO RN   
 26  47146 232 272  35.865 127.173  35.821 127.155  0.806 0.194 0.000  ( Jeonju )          WJS WN  
 27  47152 234 288  35.621 129.337  35.583 129.334  0.785 0.127 0.087  ( Ulsan )           DNF TKS
 28  47155 238 282  35.195 128.517  35.167 128.575  0.769 0.157 0.074  ( Changwon )        CKD DNJS
 29  47156 238 270  35.205 126.903  35.173 126.892  0.823 0.177 0.000  ( Gwangju )         RHKD WN 
 30  47159 238 286  35.186 129.054  35.105 129.032  0.621 0.379 0.000  ( Busan )           QN TKS  
 31  47162 240 281  34.976 128.378  34.845 128.436  0.883 0.117 0.000  ( Tongyeong )       XHD DUD 
 32  47165 241 267  34.874 126.501  34.817 126.381  0.841 0.159 0.000  ( Mokpo )           AHR VH  
 33  47168 242 276  34.763 127.705  34.739 127.741  0.860 0.140 0.000  ( Yeosu )           DU TN   
 34  47170 245 268  34.435 126.637  34.396 126.702  0.880 0.120 0.000  ( Wando )           DHKS EH 
 35  47184 254 267  33.444 126.510  33.514 126.530  0.909 0.091 0.000  ( Jeju )            WP WN   
 36  47189 255 267  33.334 126.510  33.246 126.565  0.925 0.075 0.000  ( Seogwipo )        TJRNLVH 
 37  47192 238 278  35.201 127.979  35.164 128.040  0.784 0.159 0.057  ( Jinju )           WLS WN  
 38  47203 219 274  37.294 127.454  37.264 127.484  0.825 0.164 0.011  ( Icheon )          DL CJS  
 39  47232 224 273  36.745 127.313  36.762 127.293  0.814 0.186 0.000  ( Cheonan )         CJS DKS
 40  47235 228 268  36.305 126.629  36.327 126.557  0.874 0.126 0.000  ( Boryeong )        QH FUD  
 41  47245 235 270  35.535 126.902  35.563 126.839  0.831 0.130 0.040  ( Jeongup )         WJD DMQ
 42  47247 236 273  35.425 127.307  35.405 127.333  0.869 0.131 0.000  ( Namwon )          SKA DNJS
 43  47251 236 268  35.425 126.633  35.427 126.697  0.861 0.139 0.000  ( Gochang )         RH CKD  
 44  47174 239 273  35.095 127.306  35.075 127.239  0.895 0.105 0.000  ( Suncheon )        TNS CJS 
 45  47279 230 280  36.078 128.262  36.131 128.321  0.798 0.202 0.000  ( Gumi )            RN AL   
 46  47284 234 277  35.642 127.849  35.671 127.911  0.883 0.117 0.000  ( Geochang )        RJ CKD  
 47  47102 211 255  38.155 124.802  37.966 124.633  0.832 0.168 0.000  ( Baengnyeongdo )   QORFUDEH
 48  47169 243 259  34.645 125.434  34.687 125.451  0.000 0.000 0.000  ( Heuksando )       GMRTKSEH
